name	1 HepG2 CMV	2 HepG2 CMV HDAC5	3 HepG2 HDAC5	4 293T CMV	5 293T CMV HDAC5	6 293T HDAC5	7 293T CMV HDAC5 H1006Y	8 293T HDAC5 H1006Y	9 293T Core	10 293T Core HDAC5	11 293T C-S- Core	12 293T C-S- Core HDAC5	13 HepDE19 +tet	14 HepDE19 -tet	15 BSA	16 Blank
ALBU_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ALDOB_HUMAN	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	1
BHMT1_HUMAN	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1
BIP_HUMAN	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0
CAPSD_HBVB1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0
CAPSD_HBVD5	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
CBPQ_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CH60_HUMAN	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0
CLH1_HUMAN	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0
CPSF7_HUMAN	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CPSM_HUMAN	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCP1A_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
DCP1B_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
DDX6_HUMAN	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0
DHE3_HUMAN	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPOL_HBVD3	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	0
EDC3_HUMAN	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0
EDC4_HUMAN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
"EF1A1_HUMAN,EF1A3_HUMAN"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
EFTU_HUMAN	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0
ELAV1_HUMAN	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
FINC_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
