name	1 HepG2 CMV	2 HepG2 CMV HDAC5	3 HepG2 HDAC5	4 293T CMV	5 293T CMV HDAC5	6 293T HDAC5	7 293T CMV HDAC5 H1006Y	8 293T HDAC5 H1006Y	9 293T Core	10 293T Core HDAC5	11 293T C-S- Core	12 293T C-S- Core HDAC5	13 HepDE19 +tet	14 HepDE19 -tet	15 BSA	16 Blank
ALBU_HUMAN	4	2	2	4	5	2	4	4	4	4	4	4	4	3	5	1
ALDOB_HUMAN	4	1	3	1	0	1	0	1	1	0	0	0	1	0	1	1
BHMT1_HUMAN	2	1	1	2	0	0	0	0	0	0	1	0	0	1	0	1
BIP_HUMAN	1	0	0	5	3	0	3	3	4	5	6	4	9	2	0	0
CAPSD_HBVB1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0
CAPSD_HBVD5	1	0	0	4	7	2	7	2	6	8	5	7	2	3	0	0
CBPQ_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CH60_HUMAN	1	0	0	2	3	1	3	1	0	4	2	2	0	0	0	0
CLH1_HUMAN	1	1	0	2	10	4	10	15	5	8	10	7	1	3	0	0
CPSF7_HUMAN	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CPSM_HUMAN	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCP1A_HUMAN	4	3	2	13	22	16	16	28	18	23	17	17	7	6	0	0
DCP1B_HUMAN	3	2	1	3	2	4	4	8	4	4	5	4	4	2	0	0
DDX6_HUMAN	1	1	0	3	5	1	5	7	6	5	5	6	7	0	0	0
DHE3_HUMAN	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPOL_HBVD3	1	1	0	4	4	0	5	0	0	2	1	4	0	1	0	0
EDC3_HUMAN	2	0	3	8	15	6	9	19	8	13	11	8	5	2	0	0
EDC4_HUMAN	18	16	15	54	96	40	69	99	64	87	67	71	48	40	0	0
"EF1A1_HUMAN,EF1A3_HUMAN"	1	1	1	3	5	3	3	5	2	3	2	2	3	2	0	0
EFTU_HUMAN	1	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0
ELAV1_HUMAN	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
FINC_HUMAN	2	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0
